Product Names,New to site?,Previous Prices,Previous Timestamp,Current Prices,Current Timestamp,Price Difference
Asiga Ultra,NO,"£11,917.00",2024-10-24 16:15:54,"£11,917.00",2024-10-24 16:16:18,0.0
Asiga Max 2,NO,"£7,917.00",2024-10-24 16:15:54,"£7,917.00",2024-10-24 16:16:18,0.0
Asiga PRO 4K,NO,"£21,000.00",2024-10-24 16:15:54,"£21,000.00",2024-10-24 16:16:18,0.0
Asiga MAX X,NO,"£7,917.00",2024-10-24 16:15:54,"£7,917.00",2024-10-24 16:16:18,0.0
Asiga MAX,NO,"£7,134.00",2024-10-24 16:15:54,"£7,134.00",2024-10-24 16:16:18,0.0
Asiga LIFT™ Tray - 20L,NO,£471.00,2024-10-24 16:15:54,£471.00,2024-10-24 16:16:18,0.0
1L Max Low Force Build Tray,NO,£83.00,2024-10-24 16:15:54,£83.00,2024-10-24 16:16:18,0.0
Max Universal Build Tray,NO,From £79.00,2024-10-24 16:15:54,From £79.00,2024-10-24 16:16:18,0.0
Asiga UltraGLOSS Build Tray,NO,From £86.00,2024-10-24 16:15:54,From £86.00,2024-10-24 16:16:18,0.0
Pro 4K Low Force Build Tray,NO,From £83.00,2024-10-24 16:15:54,From £83.00,2024-10-24 16:16:18,0.0
Asiga Pro 4K Build Platform,NO,£713.00,2024-10-24 16:15:54,£713.00,2024-10-24 16:16:18,0.0
"DentaTRY, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaGUIDE, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaIBT, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaTRAY, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaBASE N1, 1kg Bottle",NO,£205.00,2024-10-24 16:15:54,£205.00,2024-10-24 16:16:18,0.0
"DentaMODEL, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaGUM, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"FusionGRAY V2, 1Kg Bottle",NO,£217.00,2024-10-24 16:15:54,£217.00,2024-10-24 16:16:18,0.0
"DentaSTUDY, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaFORM, 1kg Bottle",NO,£104.00,2024-10-24 16:15:54,£104.00,2024-10-24 16:16:18,0.0
"DentaCAST, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"DentaTOOTH, 1kg Bottle",NO,£287.00,2024-10-24 16:15:54,£287.00,2024-10-24 16:16:18,0.0
"PlasGray V2, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"PlasClear V2, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"PlasWhite V2, 1kg Bottle",NO,£143.00,2024-10-24 16:15:54,£143.00,2024-10-24 16:16:18,0.0
"SuperCAST X, 1kg Bottle",NO,£291.00,2024-10-24 16:15:54,£291.00,2024-10-24 16:16:18,0.0
BlueCast X-FILIGREE V2,NO,£113.00,2024-10-24 16:15:54,£113.00,2024-10-24 16:16:18,0.0
BlueCast X-One V2,NO,£113.00,2024-10-24 16:15:54,£113.00,2024-10-24 16:16:18,0.0
